Job Title,Job Salary,Job Experience Required,Key Skills,Role Category,Functional Area,Industry
Associate/Senior Associate -(NonTechnical), Not Disclosed by Recruiter ,0 - 2 yrs, Technical support| English| Comp| Customer Care Executive| Inbound calls| Antivirus| Issue| Software,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services"
IT/Networking-Manager,"INR 6,50,000 - 12,00,000 PA.",5 - 7 Years,C#|Application Development|Senior Level|MS SQL|Visual Basic|Power Bi|MSBI|SSIS|Recruitment|Data Integration,Admin/Maintenance/Security/Datawarehousing,"IT Software - Application Programming , Maintenance",Banking / Financial Services / Broking
Sales Executive/Officer, Not Disclosed by Recruiter ,0 - 2 yrs, Escalation management| Field Sales Executive| Sales achievement| Training| Insurance sales,Retail Sales,"Sales , Retail , Business Development","Real Estate, Property"
Sales Trainer, Not Disclosed by Recruiter ,10 - 15 yrs, Team management| Salesforce| Usage| Sales| Skill development| Training| Productivity improvement| Training management| Sales budgeting| TSI,Sales Support,"Sales , Retail , Business Development","FMCG, Foods, Beverage"
Associate/Senior Associate -(Technical), Not Disclosed by Recruiter ,2 - 5 yrs, Networking| Unix| Change management| Scheduling| Publishing| Incident management| VMware| Problem management| Remedy| SIP,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services"
Trainer,"5,00,000 - 10,00,000 PA.",4 - 9 yrs, planning| training| training manager| trainer| faculty,Teachers,"Teaching , Education , Training , Counselling","Wellness , Fitness , Sports, Beauty"
Sales/Business Development Manager, Not Disclosed by Recruiter ,3 - 6 yrs, Sales| Billing| MS Office| Business reporting| Insurance sales| MIS preparation| Usage| Corporate| Networking| Retail,Retail Sales,"Sales , Retail , Business Development","IT-Software, Software Services"
Technical Support Engineer, Not Disclosed by Recruiter ,4 - 5 yrs, customer support| support service| field support| team| management| supervisor| self motivated| continuous improvement| give| enthusiastic,Admin/Maintenance/Security/Datawarehousing,"IT Software - Application Programming , Maintenance",Other
Software Developer, Not Disclosed by Recruiter ,1 - 6 yrs, Javascript| SQL| XML| server| css| technical| software| developing| HTML| tracking| database| web| Application development| net| programming| Ajax| development| DOM| solid| data integrity| Stored procedures| Reporting tools| application| applications,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
Senior Design Engineer, Not Disclosed by Recruiter ,5 - 10 yrs, Senior Design Engineer| Engineering Design| SACS,Engineering Design,"Engineering Design , R&D","Strategy, Management Consulting Firms"
Head/VP/GM-Technology(IT)/CTO, Not Disclosed by Recruiter ,4 - 8 yrs, C| Python| Six Sigma| PMP| .NET| HTML| JavaScript| SQL| Oracle| assembly language| Real Time Operating Systems,Senior Management,"IT Software - Network Administration , Security","IT-Software, Software Services"
Associate/Senior Associate -(Technical), Not Disclosed by Recruiter ,2 - 5 yrs, Technical Support Executive| Electrical engineering,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","Internet, Ecommerce"
Business Analyst, Not Disclosed by Recruiter ,1 - 3 yrs, Data analysis| Automation| Google Analytics| Excel| Analytical| Business intelligence| Analytics| Product marketing| SQL| Data extraction,System Design/Implementation/ERP/CRM,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
Software Developer,Openings: 1,5 - 10 Years,Detail Design|Juniper|SMSC Engineer|Routing|IP Networking|Network Elements|Network Troubleshooting|High Level Design|Data Center|Switching,Programming & Design,"IT Software - Network Administration , Security",Telecom / ISP
Restaurant Manager,"3,75,000 - 5,50,000 PA.",5 - 7 yrs, assistant restaurant manager| restaurant| restaurant manager,Food & Beverage,"Hotels , Restaurants","Travel , Hotels , Restaurants , Airlines , Railways"
Graphic Designer, Not Disclosed by Recruiter ,0 - 3 yrs, layout| visualization| digital media| graphic design| html| illustration| tools| part time,Creative,"Design , Creative , User Experience","Advertising, PR, MR, Event Management"
Head/VP/GM/National Manager -Sales, Not Disclosed by Recruiter ,2 - 7 yrs, selling| accounts| events| prospecting| business operations| ideas| coordinating| tracking| closing| maintaining,Senior Management,"Sales , Retail , Business Development","IT-Software, Software Services"
Web Designer, Not Disclosed by Recruiter ,3 - 5 yrs,photoshop| illustrator| seo| jquery| fireworks| css3| gui| usability| development| static,Creative,"Design , Creative , User Experience","IT-Software, Software Services"
Graphic/Web Designer, Not Disclosed by Recruiter ,1 - 3 yrs,Photoshop| HTML| Wordpress| CSS3| bootstrap| Web technologies| html5| CSS,Programming & Design,"IT Software - eCommerce , Internet Technologies","Recruitment, Staffing"
Software Developer, Not Disclosed by Recruiter ,1 - 3 yrs, Python,Programming & Design,"IT Software - Application Programming , Maintenance","Recruitment, Staffing"
Graphic/Web Designer, Not Disclosed by Recruiter ,4 - 5 yrs,server| multimedia| troubleshooting| graphics| audio| monitoring| javascript| jquery| user interface| css3,Programming & Design,"IT Software - eCommerce , Internet Technologies","IT-Software, Software Services"
Head/VP/GM-Operations, Not Disclosed by Recruiter ,8 - 10 yrs, Senior management| MIS reporting| Building| Training| Management| Risk| Vice President| Focus| Trade| Associate Vice President,Senior Management,"Financial Services , Banking , Investments , Insurance","Recruitment, Staffing"
Head/VP/GM/National Manager -Sales, Not Disclosed by Recruiter ,4 - 9 yrs, Sales Head| Tied Channel| Sales| Business Growth| Profitability| Business Operations| New Business| Alliances,Senior Management,"Sales , Retail , Business Development",Insurance
Head/VP/GM-Operations, Not Disclosed by Recruiter ,15 - 20 yrs, Project Management,Senior Management,"Production , Manufacturing , Maintenance","Real Estate, Property"
Research Scientist, Not Disclosed by Recruiter ,4 - 8 yrs, QA| Life Sciences| development quality assurance| Life Cycle| Regulatory Affairs| DQA| QMS| Dmf,R&D,"Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology","Pharma, Biotech, Clinical Research"
Accounts Manager,"3,50,000 - 4,75,000 PA.",10 - 14 yrs, accounting| finance| financial reporting| statutory compliance| gst| vat,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit",Iron and Steel
Sales/Business Development Manager, Not Disclosed by Recruiter ,8 - 12 yrs, Data analysis| Consumer research| Management| Head Business Development,Retail Sales,"Sales , Retail , Business Development","Construction, Engineering, Cement, Metals"
Testing Engineer, Not Disclosed by Recruiter ,4 - 6 yrs, Testing| Quality| Manual Testing| ETL| BI| DW| Datawarehouse Testing,Programming & Design,IT Software - QA & Testing,"IT-Software, Software Services"
Quality Assurance/Quality Control Executive, Not Disclosed by Recruiter ,3 - 5 yrs, assembly language| Six Sigma| PMP| C| JavaScript| .NET| HTML| Oracle| Python| SQL,QA/Testing/Documentation,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
Sales Executive/Officer, Not Disclosed by Recruiter ,4 - 9 yrs, Product management| Business process| Linkedin| Automation| CV| Email| GIT| Technical| SDLC| Ideas,Institutional Sales,"Sales , Retail , Business Development","IT-Software, Software Services"
Software Developer, Not Disclosed by Recruiter ,2 - 4 yrs, ajax| javascript| php| erp| website| development| software development| module| mca| application development| application| web| programming,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
Associate/Senior Associate -(NonTechnical),"2,00,000 - 2,50,000 PA.",0 - 2 yrs, customer service| customer care| team| communication| bpo| call center| inbound| voice| backend| non voice| telecalling| cse| cro| cce| data entry| back office| voice process| domestic bpo| fresher| trainee| Telemarketing| Outbound| sales| hardware| networking,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","Fresher, Trainee, Entry Level"
Software Developer, Not Disclosed by Recruiter,2 - 4 Years,Oracle|Core Java|Business process|Outsourcing|Operations|spring integration|J2Ee|Spring framework|JEE|Manager Technology,Programming & Design,"IT Software - Application Programming , Maintenance",IT-Software / Software Services
Associate/Senior Associate -(NonTechnical), Not Disclosed by Recruiter ,0 - 1 yrs, MS Office| Data entry,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","Strategy, Management Consulting Firms"
Sales/Business Development Manager, Not Disclosed by Recruiter ,1 - 2 yrs, Customer relationship| Automobile| Proposal preparation| CRM strategy| Architecture| Database| Testing,Corporate Sales,"Sales , Retail , Business Development","IT-Software, Software Services"
Software Developer, Not Disclosed by Recruiter ,2 - 7 yrs,Unix| Version control| Prototype| XML| MySQL| PHP| JSON| MVC| Ajax| CSS3,Programming & Design,IT Software - System Programming,"BPO, Call Centre, ITeS"
Merchandiser,"2,00,000 - 6,50,000 PA.",2 - 7 yrs, Merchandising| Buyer Activities| Follow Ups| Vendor| purchase| vendor development| tracking,Production/Merchandising/Business Development,"Export , Import , Merchandising","Textiles, Garments, Accessories"
Team Lead/Technical Lead,"12,00,000 - 20,00,000 PA.",6 - 11 yrs, C#| Azure| Powershell| Script Writing| API| Debugging| Devops| Application Integration,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
Executive/ Sr Executive - Administration, Not Disclosed by Recruiter ,2 - 3 yrs, operations management| mobilization| Resource Mobilization| general management| interview| Recruitment,Administration/Facility Management,"HR , Recruitment , Administration , IR","Recruitment, Staffing"
Associate/Senior Associate -(NonTechnical), Not Disclosed by Recruiter ,0 - 1 yrs, Customer Support Executive| Customer service| Business Executive| process,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services"
DaycareTeacher / Incharge / Attendant,"2,50,000 - 3,00,000 PA.",2 - 4 yrs, Staff Training| Day Care| Recruitment,Teachers,"Teaching , Education , Training , Counselling","Education, Teaching, Training"
Associate/Senior Associate -(Technical), Not Disclosed by Recruiter ,1 - 6 yrs, process| Spot| Technical support| Night shift| International BPO,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services"
Social Media Marketing Manager,"INR 6,00,000 - 12,00,000 PA.",4 - 9 Years,digital marketing|email marketing|adwords|display advertising|digital campaigns|google analytics|sem|seo,Online/Digital Marketing,"Marketing , Advertising , MR , PR , Media Planning",Education / Teaching / Training
Team Lead/Technical Lead, Not Disclosed by Recruiter ,2 - 7 yrs,java| cisco call manager| visa| j2ee| sip| offshore| communication skills,Programming & Design,IT Software - Telecom Software,"IT-Software, Software Services"
Sales / BD Manager,"4,75,000 - 6,00,000 PA.",3 - 8 yrs, Sales| Business Development| Change Management| Mobile| mobiles| handset| mobile handset| Marketing| Relationship Management| Distribution Management| channel management| dealer management| Retailer,Channel Sales,"Sales , Retail , Business Development","Consumer Electronics, Appliances, Durables"
Technical Support Engineer, Not Disclosed by Recruiter ,0 - 4 yrs, International Call Center| Technical Support| Maintenance| Communication Skills| PC Hardware| Technician Activities| Social Media| Analytical Ability| Soft Skills| Customer Satisfaction,Admin/Maintenance/Security/Datawarehousing,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
Graphic Designer, Not Disclosed by Recruiter ,2 - 4 yrs, Illustrator| Corel Draw| Photoshop,Creative,"Design , Creative , User Experience","Education, Teaching, Training"
Testing Engineer, Not Disclosed by Recruiter ,2 - 5 yrs, Manual testing| Informatica| microsoft| Process automation| System testing| PDF| Artificial Intelligence| Regression testing| Silicon| Analytics,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
Team Lead/Technical Lead, Not Disclosed by Recruiter ,10 - 16 yrs, Technical Architecture| Fusion| Oracle Fusion,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services"
